timestamp,farm_id,crop_type,soil_moisture,temperature,humidity,rainfall,soil_ph,soil_temperature
2026-01-01 00:00:00,FARM001,Rice,57.64,20.09,73.61,0.0,6.23,20.01
2026-01-01 01:00:00,FARM002,Tomato,45.35,18.49,77.78,0.0,6.54,19.22
2026-01-01 02:00:00,FARM003,Maize,50.35,16.58,76.93,0.0,6.88,16.86
2026-01-01 03:00:00,FARM004,Cotton,49.31,18.22,77.39,0.0,6.99,17.73
2026-01-01 04:00:00,FARM005,Wheat,59.58,19.47,82.07,0.0,6.43,19.44
2026-01-01 05:00:00,FARM001,Rice,57.49,18.26,77.93,0.0,6.18,18.26
2026-01-01 06:00:00,FARM002,Tomato,45.2,18.44,77.74,0.0,6.5,19.6
2026-01-01 07:00:00,FARM003,Maize,50.2,20.66,75.23,0.0,6.64,20.76
2026-01-01 08:00:00,FARM004,Cotton,49.16,20.94,74.75,0.0,7.17,20.9
2026-01-01 09:00:00,FARM005,Wheat,59.36,23.49,68.8,0.0,6.48,22.17
2026-01-01 10:00:00,FARM001,Rice,57.06,27.59,63.5,0.0,6.27,25.57
2026-01-01 11:00:00,FARM002,Tomato,48.61,30.34,56.65,4.55,6.59,29.17
2026-01-01 12:00:00,FARM003,Maize,49.63,30.39,58.92,0.0,6.91,28.63
2026-01-01 13:00:00,FARM004,Cotton,48.52,31.82,56.67,0.0,7.16,30.55
2026-01-01 14:00:00,FARM005,Wheat,58.56,34.97,43.81,0.0,6.47,32.89
2026-01-01 15:00:00,FARM001,Rice,56.35,33.13,54.17,0.0,6.2,31.01
2026-01-01 16:00:00,FARM002,Tomato,47.96,31.93,52.91,0.0,6.46,29.39
2026-01-01 17:00:00,FARM003,Maize,48.92,33.3,54.8,0.0,6.81,31.47
2026-01-01 18:00:00,FARM004,Cotton,47.96,30.19,56.87,0.0,6.98,29.0
2026-01-01 19:00:00,FARM005,Wheat,63.6,29.44,59.54,6.72,6.37,28.15
2026-01-01 20:00:00,FARM001,Rice,55.97,26.56,64.62,0.0,6.04,25.17
2026-01-01 21:00:00,FARM002,Tomato,47.73,23.59,65.7,0.0,6.5,23.75
2026-01-01 22:00:00,FARM003,Maize,51.63,23.02,71.98,3.61,6.82,23.8
2026-01-01 23:00:00,FARM004,Cotton,47.81,20.95,75.82,0.0,7.01,20.22
2026-01-02 00:00:00,FARM005,Wheat,63.45,18.18,82.08,0.0,6.29,18.84
2026-01-02 01:00:00,FARM001,Rice,55.82,18.95,76.9,0.0,6.27,20.2
2026-01-02 02:00:00,FARM002,Tomato,52.78,19.83,80.97,6.74,6.4,20.29
2026-01-02 03:00:00,FARM003,Maize,51.48,17.8,78.39,0.0,6.77,17.67
2026-01-02 04:00:00,FARM004,Cotton,47.66,18.49,81.45,0.0,7.3,18.1
2026-01-02 05:00:00,FARM005,Wheat,63.3,17.59,80.86,0.0,6.46,17.85
2026-01-02 06:00:00,FARM001,Rice,55.67,17.49,81.75,0.0,6.3,17.21
2026-01-02 07:00:00,FARM002,Tomato,54.18,21.34,74.87,1.86,6.4,21.56
2026-01-02 08:00:00,FARM003,Maize,51.2,24.5,65.95,0.0,6.86,24.49
2026-01-02 09:00:00,FARM004,Cotton,47.27,26.74,64.72,0.0,7.18,25.32
2026-01-02 10:00:00,FARM005,Wheat,62.96,25.77,63.83,0.0,6.33,24.98
2026-01-02 11:00:00,FARM001,Rice,55.18,28.88,62.43,0.0,6.24,27.72
2026-01-02 12:00:00,FARM002,Tomato,53.39,34.76,50.68,0.0,6.43,32.59
2026-01-02 13:00:00,FARM003,Maize,50.63,30.32,57.18,0.0,6.86,29.01
2026-01-02 14:00:00,FARM004,Cotton,46.62,32.05,53.42,0.0,7.17,30.63
2026-01-02 15:00:00,FARM005,Wheat,62.24,33.32,53.28,0.0,6.54,30.7
